encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
300,r300fwcomp,comp,7947.0,0.6428571428571429,0.828125,False,0.6760416686534881
300,r300fwcomp,comp,565.0,0.6316964285714286,0.7495065794179314,False,0.6541666686534882
300,r300fwcomp,comp,4306.0,0.6495535714285714,0.8197368422621175,False,0.6822916686534881
300,r300fwcomp,comp,7984.0,0.6183035714285714,0.7029605264726438,False,0.66875
300,r300fwcomp,comp,2336.0,0.6540178571428571,0.7404605267863524,False,0.6697916686534882
300,r300fwcomp,comp,9495.0,0.6130952388048172,0.8111842109968788,False,0.671875
300,r300fwcomp,comp,3043.0,0.6413690490382058,0.8358552636284577,False,0.6666666686534881
300,r300fwcomp,comp,7975.0,0.6331845245191029,0.7700657899442472,False,0.6791666686534882
300,r300fwcomp,comp,5397.0,0.6257440490382058,0.8399671057337209,False,0.6666666686534881
300,r300fwcomp,comp,8864.0,0.6584821428571429,0.7601973688916156,False,0.6697916686534882
100,t100fwcomp,comp,663.0,0.6205357142857143,0.8246710527884332,True,0.6822916686534881
100,t100fwcomp,comp,7014.0,0.6421130959476743,0.7626644741547736,True,0.6729166686534882
100,t100fwcomp,comp,6269.0,0.6666666673762458,0.8078947373126683,True,0.675
100,t100fwcomp,comp,990.0,0.6212797633239201,0.9588815789473684,True,0.6572916686534882
100,t100fwcomp,comp,1990.0,0.654761906181063,0.8490131583652998,True,0.6822916686534881
100,t100fwcomp,comp,6199.0,0.6659226204667773,0.7988486846810893,True,0.6947916686534882
100,t100fwcomp,comp,5514.0,0.6227678571428571,0.9128289473684208,True,0.6791666686534882
100,t100fwcomp,comp,5454.0,0.6607142857142857,0.8103618425758261,True,0.6697916686534882
100,t100fwcomp,comp,627.0,0.6294642857142857,0.8769736846810893,True,0.6854166686534882
100,t100fwcomp,comp,1714.0,0.6473214285714286,0.7659539478389841,True,0.6697916686534882
100,t100fwcomp,comp,818.0,0.6584821428571429,0.9481907894736842,True,0.684375
100,t100fwcomp,comp,3370.0,0.6502976204667773,0.8287828948936964,True,0.6729166686534882
100,t100fwcomp,comp,2331.0,0.6108630959476743,0.7774671057337209,True,0.665625
100,t100fwcomp,comp,1819.0,0.6108630959476743,0.9777960526315792,True,0.6822916686534881
